reference	prediction
If Alkar is flooding her with psychic waste, that explains the high level of neurotransmitters.	if Alkar is flooded with psychic waste, that explains the high levels of neuro
Now you're getting nasty.	now you're getting nasty.
Well, we could spare your life, for one.	well, we could spare your life for one.
Ah! Monkey, you've got to snap out of it.	monkey, you have to get out of here.
I've got orders to put her down.	I have orders to put her down.
I'm not gonna have a child... ...with the same genetic disorder as me who's gonna die. L...	I'm not going to have a child with the same genetic disorder as me.
They're all laughing at us, so we'll kick your ass.	they're laughing at us, so we'll get you.
Maine was very short on black people back then.	Maine was very short on black people back then.
Briggs, what the hell's happening?	Briggs, what the hell's going on?
Another one simply had no clue what to do, so whenever he met my brother he'd beat the crap out of him, and then say:	another had no idea what to do, so whenever he met my brother, he beat
I suppose you want me to buy you flowers and chocolates and whisper sweet nothings.	I guess you want me to buy you flowers and chocolates and whisper sweet nothings.
So now their spirits are cursed, walking back roads, waterways, and if they find an unfaithful man, they kill him, and that man is never seen again.	so now their spirits are cursed, they walk on the back roads, on the waterways
Freezing him.	freezing him.
Come on, Cal, leave that shit alone.	come on, Cal, leave it alone.
So he's the Top dog.	so he's the best dog.
I swore when I went out with Xander Harris... ...I'd rather die than datea fixer-upper again.	I swore when I went out with Xander Harris...... I'd rather die
I'm famous, and you're done.	I'm famous, and you're done.
"To quote Jake Oppenheimer: I, who am about to die, must seem to them something ""God-awful.""..."	to quote Jake Oppenheimer, I'm about to die, and they must think
“Could you please be quiet, Miss Lavish?” said Moist.	"""can you please be quiet, Miss Lavish?"" Said Moist."
Murder for hire.	murder for hire.
Fatuous Xerxes blithely surrendered control to the computer grid, ordering it to take care of whatever troubles might arise.	the fatuous Xerxes blithely surrendered control of the
That night, Li'l Dice satisfied his thirst to kill, though he knew Shaggy would never forgive him.	Li'l Dice had a thirst for murder that night, even though he knew
Real life starts the first time you fuck, kid.	real life starts when you first get laid, kid.
I think you are the strangest man I've ever met.	I think you're the weirdest man I've ever met.
I say creepy, I mean, it's totally batshit crazy I can even talk to you.	I mean, it's crazy that I can even talk to you.
Shit, this one I can't even pronounce.	hell, I can't even pronounce it.
I like that shit.	I like it.
Trying to keep me fucking drugged so I don't know what's going on.	they're trying to keep me drugged so I don't know what's going
How is this not porn? This is porn that comes home.	it's not porn, it's porn that comes home.
Hey, leave the poor bastard alone!	hey, leave the poor guy alone!
You want the bad news? Or the really bad news?	you want bad news or bad news?
And I'm not just talking about you punching me over your boyfriend, the girlfriend.	and I'm not talking about you beating me up about your friend, your girlfriend.
"And Murray, being the butt-plug that he is, doesn't see the problem, until one day Glenda says, “I've had this business, ""Anything is better than nothing."""	and Murray, being the snitch, doesn't see the problem until Glend
No matter the reason, this company is unfit.	no matter what the reason, this company is unfit.
